scenario,mars_base_latency_s,global_timeout_s,blackout_duration_s,seed,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,global_during_rate,global_post_rate,first_success_after_blackout_s,avg_global_latency_s
blackout_only,186.0,120.0,900.0,78,5,5,8,8,21,21,1.000000,1.000000,62.591716,0.184225
with_repeater,186.0,120.0,900.0,78,5,5,8,8,21,21,1.000000,1.000000,62.611766,0.186171
blackout_only,186.0,120.0,900.0,79,5,5,8,8,21,21,1.000000,1.000000,62.517516,0.183832
with_repeater,186.0,120.0,900.0,79,5,5,8,8,21,21,1.000000,1.000000,62.490156,0.179578
blackout_only,186.0,120.0,900.0,80,5,5,8,8,21,21,1.000000,1.000000,62.536131,0.182076
with_repeater,186.0,120.0,900.0,80,5,5,8,8,21,21,1.000000,1.000000,62.536220,0.183647
blackout_only,186.0,120.0,900.0,81,5,5,8,8,21,21,1.000000,1.000000,62.549551,0.182656
with_repeater,186.0,120.0,900.0,81,5,5,8,8,21,21,1.000000,1.000000,62.542023,0.181369
blackout_only,186.0,120.0,900.0,82,5,5,8,8,21,21,1.000000,1.000000,62.557586,0.183918
with_repeater,186.0,120.0,900.0,82,5,5,8,8,21,21,1.000000,1.000000,62.592987,0.182863
blackout_only,186.0,120.0,900.0,83,5,5,8,8,21,21,1.000000,1.000000,62.548144,0.184277
with_repeater,186.0,120.0,900.0,83,5,5,8,8,21,21,1.000000,1.000000,62.573454,0.184541
blackout_only,186.0,120.0,900.0,84,5,5,8,8,21,21,1.000000,1.000000,62.615830,0.183923
with_repeater,186.0,120.0,900.0,84,5,5,8,8,21,21,1.000000,1.000000,62.541100,0.182741
blackout_only,186.0,120.0,900.0,85,5,5,8,8,21,21,1.000000,1.000000,62.538794,0.183688
with_repeater,186.0,120.0,900.0,85,5,5,8,8,21,21,1.000000,1.000000,62.531264,0.182555
blackout_only,186.0,120.0,900.0,86,5,5,8,8,21,21,1.000000,1.000000,62.608905,0.183026
with_repeater,186.0,120.0,900.0,86,5,5,8,8,21,21,1.000000,1.000000,62.573132,0.183452
blackout_only,186.0,120.0,900.0,87,5,5,8,8,21,21,1.000000,1.000000,62.619533,0.182996
with_repeater,186.0,120.0,900.0,87,5,5,8,8,21,21,1.000000,1.000000,62.558093,0.184627
blackout_only,186.0,120.0,900.0,88,5,5,8,8,21,21,1.000000,1.000000,62.543258,0.183470
with_repeater,186.0,120.0,900.0,88,5,5,8,8,21,21,1.000000,1.000000,62.607199,0.182765
blackout_only,186.0,120.0,900.0,89,5,5,8,8,21,21,1.000000,1.000000,62.559852,0.181232
with_repeater,186.0,120.0,900.0,89,5,5,8,8,21,21,1.000000,1.000000,62.591177,0.182487
blackout_only,186.0,120.0,1800.0,40,5,5,15,15,14,14,1.000000,1.000000,3.915216,0.184257
with_repeater,186.0,120.0,1800.0,40,5,5,15,15,14,14,1.000000,1.000000,3.825830,0.181408
blackout_only,186.0,120.0,1800.0,41,5,5,15,15,14,14,1.000000,1.000000,3.872743,0.183390
with_repeater,186.0,120.0,1800.0,41,5,5,15,15,14,14,1.000000,1.000000,3.867062,0.183397
blackout_only,186.0,120.0,1800.0,42,5,5,15,15,14,14,1.000000,1.000000,3.819086,0.182382
with_repeater,186.0,120.0,1800.0,42,5,5,15,15,14,14,1.000000,1.000000,3.836247,0.182625
blackout_only,186.0,120.0,1800.0,43,5,5,15,15,14,14,1.000000,1.000000,3.884050,0.183294
with_repeater,186.0,120.0,1800.0,43,5,5,15,15,14,14,1.000000,1.000000,3.877115,0.183366
blackout_only,186.0,120.0,1800.0,44,5,5,15,15,14,14,1.000000,1.000000,3.833616,0.183348
with_repeater,186.0,120.0,1800.0,44,5,5,15,15,14,14,1.000000,1.000000,3.832050,0.183143
blackout_only,186.0,120.0,1800.0,45,5,5,15,15,14,14,1.000000,1.000000,3.804428,0.182132
with_repeater,186.0,120.0,1800.0,45,5,5,15,15,14,14,1.000000,1.000000,3.863885,0.183182
blackout_only,186.0,120.0,1800.0,46,5,5,15,15,14,14,1.000000,1.000000,3.802603,0.182758
with_repeater,186.0,120.0,1800.0,46,5,5,15,15,14,14,1.000000,1.000000,3.877467,0.184696
blackout_only,186.0,120.0,1800.0,47,5,5,15,15,14,14,1.000000,1.000000,3.910885,0.185060
with_repeater,186.0,120.0,1800.0,47,5,5,15,15,14,14,1.000000,1.000000,3.877571,0.184598
blackout_only,186.0,120.0,1800.0,48,5,5,15,15,14,14,1.000000,1.000000,3.757188,0.181115
with_repeater,186.0,120.0,1800.0,48,5,5,15,15,14,14,1.000000,1.000000,3.819845,0.181354
blackout_only,186.0,120.0,1800.0,49,5,5,15,15,14,14,1.000000,1.000000,3.859901,0.182766
with_repeater,186.0,120.0,1800.0,49,5,5,15,15,14,14,1.000000,1.000000,3.809755,0.181645
blackout_only,186.0,120.0,1800.0,50,5,5,15,15,14,14,1.000000,1.000000,3.835882,0.182268
with_repeater,186.0,120.0,1800.0,50,5,5,15,15,14,14,1.000000,1.000000,3.850328,0.182582
blackout_only,186.0,120.0,1800.0,51,5,5,15,15,14,14,1.000000,1.000000,3.837625,0.183516
with_repeater,186.0,120.0,1800.0,51,5,5,15,15,14,14,1.000000,1.000000,3.915722,0.186136
blackout_only,186.0,120.0,1800.0,52,5,5,15,15,14,14,1.000000,1.000000,3.873218,0.181960
with_repeater,186.0,120.0,1800.0,52,5,5,15,15,14,14,1.000000,1.000000,3.846751,0.183901
blackout_only,186.0,120.0,1800.0,53,5,5,15,15,14,14,1.000000,1.000000,3.877354,0.184817
with_repeater,186.0,120.0,1800.0,53,5,5,15,15,14,14,1.000000,1.000000,3.834232,0.182718
blackout_only,186.0,120.0,1800.0,54,5,5,15,15,14,14,1.000000,1.000000,3.834252,0.182623
with_repeater,186.0,120.0,1800.0,54,5,5,15,15,14,14,1.000000,1.000000,3.865053,0.184354
blackout_only,186.0,120.0,1800.0,55,5,5,15,15,14,14,1.000000,1.000000,3.795296,0.181067
with_repeater,186.0,120.0,1800.0,55,5,5,15,15,14,14,1.000000,1.000000,3.835292,0.183367
blackout_only,186.0,120.0,1800.0,56,5,5,15,15,14,14,1.000000,1.000000,3.868238,0.183474
with_repeater,186.0,120.0,1800.0,56,5,5,15,15,14,14,1.000000,1.000000,3.869929,0.183031
blackout_only,186.0,120.0,1800.0,57,5,5,15,15,14,14,1.000000,1.000000,3.807724,0.184351
with_repeater,186.0,120.0,1800.0,57,5,5,15,15,14,14,1.000000,1.000000,3.820038,0.181306
blackout_only,186.0,120.0,1800.0,58,5,5,15,15,14,14,1.000000,1.000000,3.855835,0.183511
with_repeater,186.0,120.0,1800.0,58,5,5,15,15,14,14,1.000000,1.000000,3.829841,0.183598
blackout_only,186.0,120.0,1800.0,59,5,5,15,15,14,14,1.000000,1.000000,3.825099,0.181801
with_repeater,186.0,120.0,1800.0,59,5,5,15,15,14,14,1.000000,1.000000,3.773876,0.181236
blackout_only,186.0,120.0,1800.0,60,5,5,15,15,14,14,1.000000,1.000000,3.918496,0.186634
with_repeater,186.0,120.0,1800.0,60,5,5,15,15,14,14,1.000000,1.000000,3.817592,0.180589
blackout_only,186.0,120.0,1800.0,61,5,5,15,15,14,14,1.000000,1.000000,3.906098,0.184402
with_repeater,186.0,120.0,1800.0,61,5,5,15,15,14,14,1.000000,1.000000,3.881094,0.184880
blackout_only,186.0,120.0,1800.0,62,5,5,15,15,14,14,1.000000,1.000000,3.854037,0.184442
with_repeater,186.0,120.0,1800.0,62,5,5,15,15,14,14,1.000000,1.000000,3.762177,0.180955
blackout_only,186.0,120.0,1800.0,63,5,5,15,15,14,14,1.000000,1.000000,3.844975,0.183935
with_repeater,186.0,120.0,1800.0,63,5,5,15,15,14,14,1.000000,1.000000,3.868430,0.184241
blackout_only,186.0,120.0,1800.0,64,5,5,15,15,14,14,1.000000,1.000000,3.881588,0.185336
with_repeater,186.0,120.0,1800.0,64,5,5,15,15,14,14,1.000000,1.000000,3.814122,0.182598
blackout_only,186.0,120.0,1800.0,65,5,5,15,15,14,14,1.000000,1.000000,3.838550,0.182831
with_repeater,186.0,120.0,1800.0,65,5,5,15,15,14,14,1.000000,1.000000,3.850597,0.182444
blackout_only,186.0,120.0,1800.0,66,5,5,15,15,14,14,1.000000,1.000000,3.873530,0.183593
